user_id,age,income_level,employment_type,credit_score_proxy,previous_loan_history,mobile_access,internet_availability,financial_literacy_score,loan_eligibility_flag
1,56,Low,Daily wage,47,0,0,0,5,0
2,46,Low,Salaried,67,1,0,0,7,0
3,32,Medium,Self-employed,18,1,1,0,8,0
4,60,Low,Self-employed,24,0,1,1,6,0
5,25,Low,Salaried,71,0,1,1,7,0
6,38,Medium,Salaried,17,1,0,0,9,0
7,56,Low,Daily wage,50,1,1,1,6,0
8,36,Medium,Self-employed,17,1,0,0,6,0
9,40,Low,Salaried,57,1,0,0,0,0
10,28,Low,Farmer,63,1,1,1,4,0
11,28,Low,Daily wage,70,1,1,0,9,0
12,41,High,Self-employed,56,0,0,0,4,0
13,53,Low,Daily wage,16,0,1,0,3,0
14,57,Low,Daily wage,58,1,0,1,0,0
15,41,Low,Farmer,66,0,1,0,6,0
16,20,Low,Farmer,85,0,1,0,7,0
17,39,Low,Salaried,14,0,1,1,4,0
18,19,Low,Farmer,94,0,1,1,3,0
19,41,Low,Self-employed,99,0,0,1,8,0
20,61,Low,Salaried,25,0,0,1,2,0
21,47,Medium,Self-employed,47,0,0,1,2,0
22,55,Medium,Self-employed,13,0,0,1,3,0
23,19,Low,Salaried,80,1,0,1,6,0
24,38,Low,Farmer,8,0,0,0,1,0
25,50,Medium,Daily wage,6,1,1,1,7,0
26,29,Medium,Farmer,90,0,1,0,1,0
27,39,Low,Self-employed,91,1,0,0,3,0
28,61,High,Self-employed,54,1,0,1,1,0
29,42,Low,Salaried,11,0,0,0,8,0
30,44,Low,Self-employed,16,1,0,0,3,0
31,59,Low,Salaried,72,0,0,1,4,0
32,45,High,Salaried,7,0,0,0,8,0
33,33,Low,Farmer,90,0,1,0,1,0
34,32,Medium,Self-employed,41,0,1,0,3,0
35,64,Low,Farmer,75,1,0,1,5,0
36,61,Low,Daily wage,36,0,0,1,0,0
37,20,Low,Farmer,19,1,1,1,0,0
38,54,Medium,Self-employed,0,1,1,0,6,0
39,24,Low,Daily wage,8,0,1,0,5,0
40,38,Low,Self-employed,23,1,1,1,3,0
41,26,Low,Daily wage,33,1,1,1,4,0
42,56,Medium,Self-employed,35,1,0,0,4,0
43,35,Low,Farmer,3,0,1,0,8,0
44,21,Low,Self-employed,28,1,1,0,4,0
45,42,Low,Salaried,86,0,1,0,1,0
46,31,High,Salaried,98,0,1,0,6,1
47,26,Medium,Farmer,15,0,1,1,9,0
48,43,Medium,Farmer,7,0,1,1,8,0
49,19,Low,Daily wage,90,1,1,0,6,0
50,37,Low,Farmer,38,1,1,0,7,0
51,45,High,Salaried,57,1,1,0,9,1
52,64,Low,Farmer,11,0,1,1,2,0
53,24,Low,Salaried,43,0,1,1,8,0
54,61,Low,Farmer,3,0,0,0,6,0
55,25,High,Salaried,24,1,1,0,9,0
56,64,Low,Daily wage,69,0,1,0,3,0
57,52,Low,Self-employed,66,1,0,1,9,0
58,31,Medium,Self-employed,38,1,1,1,6,0
59,34,Low,Salaried,23,0,1,1,2,0
60,53,Low,Farmer,84,0,1,0,9,0
61,57,High,Farmer,5,1,0,0,6,0
62,21,High,Self-employed,96,1,0,1,2,0
63,19,Medium,Salaried,71,0,0,1,1,0
64,23,Medium,Farmer,32,0,1,1,0,0
65,59,Low,Self-employed,47,0,0,1,5,0
66,21,High,Salaried,66,0,1,0,2,0
67,46,Low,Daily wage,1,1,0,0,9,0
68,35,Medium,Farmer,37,0,1,0,1,0
